 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-07 19:00:00.000 066       152.00     62.00    -89.00    -13.00
1989-03-07 20:00:00.000 066        52.00     42.00     -9.00     15.00
1989-03-07 21:00:00.000 066       118.00     88.00    -30.00     28.00
1989-03-07 22:00:00.000 066       243.00    110.00   -133.00    -11.00
1989-03-07 23:00:00.000 066       283.00    112.00   -171.00    -29.00
1989-03-08 00:00:00.000 067       240.00    111.00   -129.00     -9.00
1989-03-08 01:00:00.000 067       149.00     89.00    -60.00     13.00
1989-03-08 02:00:00.000 067       109.00     74.00    -35.00     19.00
1989-03-08 03:00:00.000 067       135.00     81.00    -53.00     13.00
1989-03-08 04:00:00.000 067       121.00     56.00    -64.00     -3.00
1989-03-08 05:00:00.000 067       224.00     87.00   -135.00    -23.00
1989-03-08 06:00:00.000 067       223.00     69.00   -154.00    -42.00
1989-03-08 07:00:00.000 067        60.00     47.00    -11.00     17.00
1989-03-08 08:00:00.000 067        52.00     42.00     -9.00     15.00
1989-03-08 09:00:00.000 067        50.00     43.00     -7.00     17.00
1989-03-08 10:00:00.000 067        74.00     43.00    -31.00      6.00
1989-03-08 11:00:00.000 067        64.00     39.00    -24.00      7.00
1989-03-08 12:00:00.000 067        58.00     40.00    -18.00     10.00
1989-03-08 13:00:00.000 067        54.00     36.00    -18.00      8.00
1989-03-08 14:00:00.000 067        49.00     32.00    -16.00      7.00
1989-03-08 15:00:00.000 067        38.00     30.00     -7.00     11.00
1989-03-08 16:00:00.000 067        31.00     26.00     -4.00     10.00
1989-03-08 17:00:00.000 067        56.00     42.00    -14.00     13.00
1989-03-08 18:00:00.000 067       714.00    192.00   -521.00   -164.00
1989-03-08 19:00:00.000 067      1100.00    315.00   -784.00   -233.00
1989-03-08 20:00:00.000 067       774.00    199.00   -573.00   -186.00
1989-03-08 21:00:00.000 067       408.00    185.00   -221.00    -18.00
1989-03-08 22:00:00.000 067       673.00    236.00   -436.00   -100.00
1989-03-08 23:00:00.000 067       723.00    295.00   -427.00    -65.00
1989-03-09 00:00:00.000 068       514.00     80.00   -433.00   -175.00
1989-03-09 01:00:00.000 068       333.00     93.00   -238.00    -72.00
1989-03-09 02:00:00.000 068       386.00    143.00   -242.00    -49.00
1989-03-09 03:00:00.000 068       270.00    128.00   -141.00     -5.00
1989-03-09 04:00:00.000 068       580.00    218.00   -361.00    -70.00
1989-03-09 05:00:00.000 068       688.00    354.00   -332.00     10.00
1989-03-09 06:00:00.000 068       562.00    297.00   -263.00     17.00
1989-03-09 07:00:00.000 068       463.00    277.00   -185.00     45.00
1989-03-09 08:00:00.000 068       434.00    235.00   -198.00     17.00
1989-03-09 09:00:00.000 068       580.00    178.00   -401.00   -110.00
1989-03-09 10:00:00.000 068       318.00    175.00   -142.00     16.00
1989-03-09 11:00:00.000 068       170.00    119.00    -51.00     33.00
1989-03-09 12:00:00.000 068       340.00    185.00   -155.00     14.00
1989-03-09 13:00:00.000 068       579.00    211.00   -366.00    -77.00
1989-03-09 14:00:00.000 068       528.00    244.00   -284.00    -19.00
1989-03-09 15:00:00.000 068       316.00    139.00   -176.00    -18.00
1989-03-09 16:00:00.000 068       459.00    211.00   -247.00    -17.00
1989-03-09 17:00:00.000 068       682.00    288.00   -393.00    -51.00
1989-03-09 18:00:00.000 068       706.00    274.00   -431.00    -78.00
1989-03-09 19:00:00.000 068       828.00    264.00   -562.00   -148.00
