 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-11 00:00:00.000 042       -48.00
1958-02-11 01:00:00.000 042       -26.00
1958-02-11 02:00:00.000 042       -21.00
1958-02-11 03:00:00.000 042        -5.00
1958-02-11 04:00:00.000 042       -23.00
1958-02-11 05:00:00.000 042      -114.00
1958-02-11 06:00:00.000 042      -217.00
1958-02-11 07:00:00.000 042      -251.00
1958-02-11 08:00:00.000 042      -333.00
1958-02-11 09:00:00.000 042      -402.00
1958-02-11 10:00:00.000 042      -425.00
1958-02-11 11:00:00.000 042      -426.00
1958-02-11 12:00:00.000 042      -373.00
1958-02-11 13:00:00.000 042      -360.00
1958-02-11 14:00:00.000 042      -328.00
1958-02-11 15:00:00.000 042      -309.00
1958-02-11 16:00:00.000 042      -293.00
1958-02-11 17:00:00.000 042      -255.00
1958-02-11 18:00:00.000 042      -213.00
1958-02-11 19:00:00.000 042      -213.00
1958-02-11 20:00:00.000 042      -208.00
1958-02-11 21:00:00.000 042      -194.00
1958-02-11 22:00:00.000 042      -191.00
1958-02-11 23:00:00.000 042      -189.00
1958-02-12 00:00:00.000 043      -151.00
1958-02-12 01:00:00.000 043      -134.00
1958-02-12 02:00:00.000 043      -119.00
1958-02-12 03:00:00.000 043      -114.00
1958-02-12 04:00:00.000 043      -110.00
1958-02-12 05:00:00.000 043       -99.00
1958-02-12 06:00:00.000 043      -103.00
1958-02-12 07:00:00.000 043      -102.00
1958-02-12 08:00:00.000 043      -116.00
1958-02-12 09:00:00.000 043      -112.00
1958-02-12 10:00:00.000 043      -107.00
1958-02-12 11:00:00.000 043      -112.00
1958-02-12 12:00:00.000 043      -109.00
1958-02-12 13:00:00.000 043      -113.00
1958-02-12 14:00:00.000 043      -111.00
1958-02-12 15:00:00.000 043      -110.00
1958-02-12 16:00:00.000 043      -104.00
1958-02-12 17:00:00.000 043      -107.00
1958-02-12 18:00:00.000 043      -109.00
1958-02-12 19:00:00.000 043      -105.00
1958-02-12 20:00:00.000 043       -88.00
1958-02-12 21:00:00.000 043       -69.00
1958-02-12 22:00:00.000 043       -76.00
1958-02-12 23:00:00.000 043       -79.00
1958-02-13 00:00:00.000 044       -65.00
1958-02-13 01:00:00.000 044       -62.00
1958-02-13 02:00:00.000 044       -59.00
1958-02-13 03:00:00.000 044       -58.00
1958-02-13 04:00:00.000 044       -55.00
1958-02-13 05:00:00.000 044       -57.00
1958-02-13 06:00:00.000 044       -58.00
1958-02-13 07:00:00.000 044       -58.00
1958-02-13 08:00:00.000 044       -57.00
1958-02-13 09:00:00.000 044       -48.00
1958-02-13 10:00:00.000 044       -48.00
1958-02-13 11:00:00.000 044       -47.00
1958-02-13 12:00:00.000 044       -48.00
1958-02-13 13:00:00.000 044       -58.00
1958-02-13 14:00:00.000 044       -56.00
