dB_E,dB_N,dB_Z
0.61958,3.2383,7.1078
0.60793,3.4601,7.4011
0.62686,3.164,6.9383
0.62689,3.0139,6.6539
0.59199,2.6496,5.9559
0.61441,3.1938,6.8038
0.62553,2.8695,6.2179
0.64779,2.6464,5.922
0.63312,2.5216,5.6672
0.61212,2.296,5.2644
0.62016,2.3004,5.2436
0.60398,2.0009,4.6927
0.59242,1.8351,4.3715
0.56421,1.5471,3.8345
0.54129,1.6186,3.8755
0.53204,1.4651,3.606
0.51333,1.2029,3.1385
0.4999,1.0242,2.7798
0.60152,0.86717,2.2545
0.48608,0.70436,2.024
0.59889,0.72307,1.829
0.48668,0.42242,1.6166
0.49452,0.60334,1.762
0.49228,0.35384,1.3558
0.53213,0.553,1.6967
0.53453,0.38049,1.481
0.4963,0.25518,1.1767
0.43962,-0.00063807,0.68441
0.41656,-0.03888,0.726
0.34459,-0.34948,0.25527
0.31592,-0.43537,0.16583
0.30932,-0.26352,0.43625
0.34446,-0.060102,0.82268
0.35713,-0.19346,0.65171
0.325,-0.30651,0.43803
0.33194,-0.17927,0.62738
0.3587,-0.13583,0.73888
0.3431,-0.28575,0.46785
0.32459,-0.33859,0.3462
0.31614,-0.33553,0.31187
0.30261,-0.37813,0.18925
0.28618,-0.4751,-0.0016137
0.27297,-0.57489,-0.18782
0.24168,-0.61988,-0.2866
0.24098,-0.72418,-0.50542
0.24613,-0.71849,-0.5475
0.23954,-0.79113,-0.6356
0.20946,-0.84881,-0.71491
0.1908,-0.88949,-0.80704
0.16923,-0.8875,-0.83703
0.15695,-0.92119,-0.8816
0.15994,-0.87032,-0.80431
0.16984,-0.87207,-0.83675
0.14967,-0.93316,-0.92665
0.14559,-0.92319,-0.91531
0.12525,-0.93883,-0.97217
0.1228,-0.90961,-0.93731
0.12024,-0.95726,-1.0092
0.11908,-0.90138,-0.94089
0.11715,-0.92447,-0.98911
0.11054,-0.91714,-0.9832
0.10033,-0.96659,-1.0745
0.084028,-0.97918,-1.1243
0.062522,-1.1039,-1.3355
0.049285,-1.0379,-1.2582
0.059719,-0.95034,-1.1287
0.04941,-1.035,-1.2555
0.036533,-1.0033,-1.2255
0.036778,-0.89698,-1.0827
0.037044,-0.91099,-1.1066
0.03141,-0.94088,-1.1497
0.016266,-0.97,-1.2023
0.033403,-0.87654,-1.0605
0.011749,-0.93481,-1.1654
0.0092108,-0.86727,-1.0755
0.014059,-0.79586,-0.97491
0.018519,-0.69917,-0.84169
0.029021,-0.73339,-0.87539
0.027399,-0.68565,-0.81973
0.018044,-0.76066,-0.93139
0.013408,-0.75807,-0.93188
0.0076254,-0.70613,-0.8799
0.011379,-0.76331,-0.95191
