dB_E,dB_N,dB_Z
0.35161,-0.11617,0.43022
0.3607,-0.11732,0.43717
0.38413,-0.11406,0.4496
0.3843,-0.11118,0.43624
0.38211,-0.11015,0.43064
0.38467,-0.10873,0.4369
0.39762,-0.10857,0.43833
0.40152,-0.11075,0.42592
0.40432,-0.10658,0.43648
0.40862,-0.10218,0.42215
0.40124,-0.099187,0.40308
0.38132,-0.091155,0.36946
0.39609,-0.088092,0.39715
0.39653,-0.070219,0.37521
0.39952,-0.077671,0.36447
0.39103,-0.075144,0.35124
0.38028,-0.075385,0.33361
0.38225,-0.071047,0.32893
0.36798,-0.064154,0.30222
0.35442,-0.058991,0.28303
0.33196,-0.056752,0.25526
0.31948,-0.053577,0.24934
0.31383,-0.052606,0.23913
0.30014,-0.051574,0.21631
0.28909,-0.04889,0.19092
0.31609,0.014336,0.10176
0.26052,-0.021558,0.12006
0.30315,0.036841,0.05527
0.27013,-0.037721,0.1029
0.26313,-0.01152,0.090581
0.26377,-0.012116,0.076263
0.28411,-0.016226,0.080592
0.28132,-0.022161,0.087315
0.24923,-0.016462,0.070736
0.2127,-0.019528,0.046875
0.20732,-0.050557,0.053169
0.17618,-0.069573,0.047799
0.16649,-0.087363,0.046614
0.17181,-0.087491,0.058147
0.18987,-0.08694,0.079378
0.19449,-0.089622,0.077434
0.18009,-0.094915,0.068147
0.18623,-0.09335,0.074525
0.19695,-0.09345,0.081035
0.18577,-0.093497,0.065873
0.17487,-0.093193,0.058312
0.16611,-0.090648,0.051716
0.15431,-0.085102,0.042241
0.14264,-0.084354,0.031268
0.13223,-0.083826,0.020838
0.11753,-0.088897,0.014612
0.11171,-0.081827,-0.0013614
0.11472,-0.071789,-0.0081001
0.10935,-0.076503,-0.0082504
0.095496,-0.083717,-0.0072864
0.085605,-0.084339,-0.014067
0.078709,-0.083967,-0.016385
0.073662,-0.087282,-0.018054
0.074259,-0.08649,-0.016925
0.077,-0.078849,-0.022398
0.066974,-0.083436,-0.023838
0.061557,-0.083739,-0.02566
0.053556,-0.0812,-0.028202
0.052291,-0.079197,-0.028203
0.048801,-0.081382,-0.032425
0.050319,-0.077753,-0.030148
0.048706,-0.074863,-0.032673
0.044815,-0.074419,-0.032169
0.037272,-0.074594,-0.037906
0.029642,-0.074079,-0.042488
0.016924,-0.075738,-0.054954
0.011291,-0.075823,-0.054624
0.016109,-0.070672,-0.048173
0.011062,-0.073147,-0.053609
0.0049614,-0.073283,-0.05453
0.0070505,-0.067497,-0.047489
0.0065246,-0.065625,-0.047508
0.0024561,-0.068781,-0.051356
-0.0030676,-0.070323,-0.054584
0.0030259,-0.065893,-0.049668
-0.0042556,-0.066084,-0.052887
-0.0061008,-0.06498,-0.051251
-0.0043552,-0.061596,-0.046668
0.00016334,-0.054659,-0.038048
0.0023198,-0.055269,-0.03906
0.00458,-0.051266,-0.036079
-7.8268e-05,-0.053696,-0.041192
-0.0022785,-0.055179,-0.043896
-0.00096175,-0.049876,-0.040409
-0.0020155,-0.051898,-0.04355
-0.0029171,-0.049917,-0.041444
0.0070685,-0.041977,-0.033073
0.0091916,-0.042589,-0.033148
0.014715,-0.038657,-0.027922
0.022037,-0.03311,-0.02097
0.031656,-0.023287,-0.010126
0.047116,-0.010665,0.0026462
0.053698,-0.0078199,0.0051812
0.038228,-0.018077,-0.0067652
0.017477,-0.036327,-0.028676
-0.0083141,-0.054991,-0.046052
-0.041675,-0.082257,-0.067301
-0.036718,-0.063841,-0.052085
-0.03374,-0.072573,-0.06041
-0.040905,-0.076653,-0.06092
-0.042277,-0.07136,-0.05785
-0.016285,-0.045049,-0.035007
0.0029804,-0.029309,-0.021271
0.022534,-0.011217,-0.0063178
0.034279,0.00093643,0.0033001
0.054774,0.022682,0.019676
0.063446,0.027175,0.020464
0.045767,0.0042694,0.0040378
0.022374,-0.025279,-0.014893
-0.0063089,-0.053401,-0.034078
-0.028747,-0.068164,-0.041795
-0.038299,-0.074462,-0.045105
-0.027513,-0.062513,-0.03672
-0.024374,-0.060647,-0.035262
-0.01838,-0.051655,-0.02918
-0.019103,-0.057694,-0.033978
-0.021579,-0.054137,-0.031002
-0.010149,-0.033305,-0.016119
0.0078397,-0.015255,-0.0058007
0.017232,-0.0057039,-0.00023258
0.027963,0.010401,0.01055
0.040303,0.024203,0.017908
0.043031,0.024313,0.017598
0.039247,0.021323,0.016313
0.029712,0.00996,0.010518
0.016162,0.00056187,0.0083541
0.011679,-0.0012348,0.0079838
0.0082383,-3.4118e-05,0.0093299
0.0046196,0.0048381,0.01406
-0.00022715,-0.0028187,0.010892
-0.0077466,-0.01114,0.0069481
-0.020136,-0.022066,0.0028425
-0.02742,-0.021472,0.0048366
-0.031553,-0.023288,0.0056713
-0.031769,-0.021396,0.0056486
-0.03818,-0.028895,0.0032473
-0.039374,-0.03228,0.00087731
-0.043521,-0.034277,0.00036675
-0.042443,-0.0337,0.00075825
-0.045822,-0.036414,0.00030907
-0.031224,-0.0044751,0.015071
