Z,Y,X,Date
2.78028,0.368537,-3.05138,2024-05-10 01:43:00
2.92219,0.519574,-3.20914,2024-05-10 01:44:00
3.05866,0.323132,-3.06533,2024-05-10 01:45:00
3.32095,0.362044,-3.07019,2024-05-10 01:46:00
3.29445,0.185595,-3.0564,2024-05-10 01:47:00
3.55687,0.476923,-3.10155,2024-05-10 01:48:00
3.83934,0.348978,-2.67733,2024-05-10 01:49:00
3.8176,0.511004,-2.3246,2024-05-10 01:50:00
4.08668,0.522244,-2.14744,2024-05-10 01:51:00
4.37694,0.158133,-1.89523,2024-05-10 01:52:00
4.32598,0.0800866,-1.98598,2024-05-10 01:53:00
4.53943,-0.00524482,-2.11119,2024-05-10 01:54:00
4.56041,-0.165033,-1.97662,2024-05-10 01:55:00
4.69095,-0.120839,-1.96716,2024-05-10 01:56:00
4.68166,-3.38272e-05,-1.66317,2024-05-10 01:57:00
4.42041,-0.144143,-1.6512,2024-05-10 01:58:00
4.52475,-0.0543112,-1.81343,2024-05-10 01:59:00
4.59376,0.0501409,-2.09935,2024-05-10 02:00:00
4.53279,0.212635,-2.10988,2024-05-10 02:01:00
4.40837,0.355273,-1.63111,2024-05-10 02:02:00
4.52727,0.285541,-1.0697,2024-05-10 02:03:00
4.55074,0.152845,-1.13259,2024-05-10 02:04:00
4.25088,0.184166,-1.15517,2024-05-10 02:05:00
4.41215,0.0980205,-0.978485,2024-05-10 02:06:00
4.44471,0.0573043,-0.929634,2024-05-10 02:07:00
3.93487,0.240151,-0.56519,2024-05-10 02:08:00
4.09719,0.0568007,-0.327778,2024-05-10 02:09:00
3.93264,0.1685,-0.287031,2024-05-10 02:10:00
4.14654,0.110445,-0.237792,2024-05-10 02:11:00
4.3417,0.0451248,0.0198459,2024-05-10 02:12:00
4.2737,-0.0429993,-0.208498,2024-05-10 02:13:00
4.58063,-0.184299,-0.103328,2024-05-10 02:14:00
4.6932,-0.396393,-0.036523,2024-05-10 02:15:00
4.5905,-0.417885,-0.24913,2024-05-10 02:16:00
4.57429,-0.330193,-0.395872,2024-05-10 02:17:00
4.92762,-0.60333,-0.0143355,2024-05-10 02:18:00
4.75113,-0.482363,-0.0238801,2024-05-10 02:19:00
4.78485,-0.630501,0.154638,2024-05-10 02:20:00
4.43082,-0.578723,-0.392913,2024-05-10 02:21:00
4.36491,-0.594373,-0.481705,2024-05-10 02:22:00
4.91358,-0.882525,-0.130041,2024-05-10 02:23:00
4.83454,-0.743057,0.234953,2024-05-10 02:24:00
4.72006,-0.889881,0.433977,2024-05-10 02:25:00
4.36442,-0.904156,0.42824,2024-05-10 02:26:00
4.30512,-0.860896,0.259048,2024-05-10 02:27:00
4.13398,-0.942223,0.523455,2024-05-10 02:28:00
3.97055,-1.05727,0.290185,2024-05-10 02:29:00
3.22958,-0.740287,-0.245522,2024-05-10 02:30:00
3.10593,-0.644988,-0.296862,2024-05-10 02:31:00
2.78634,-0.507825,-0.444832,2024-05-10 02:32:00
2.62199,-0.405759,-0.436417,2024-05-10 02:33:00
2.55001,-0.351232,-0.300032,2024-05-10 02:34:00
2.52912,-0.283497,-0.350021,2024-05-10 02:35:00
2.4311,-0.263308,-0.312669,2024-05-10 02:36:00
2.48214,-0.347675,-0.354556,2024-05-10 02:37:00
2.47747,-0.364173,-0.276455,2024-05-10 02:38:00
2.56184,-0.464988,-0.208504,2024-05-10 02:39:00
2.65069,-0.50743,-0.219197,2024-05-10 02:40:00
2.66984,-0.535867,-0.144296,2024-05-10 02:41:00
2.49113,-0.527181,-0.294083,2024-05-10 02:42:00
2.65751,-0.671155,-0.272651,2024-05-10 02:43:00
2.50889,-0.668706,-0.422773,2024-05-10 02:44:00
2.5436,-0.718538,-0.464496,2024-05-10 02:45:00
2.28266,-0.623074,-0.613724,2024-05-10 02:46:00
2.36323,-0.550199,-0.631925,2024-05-10 02:47:00
2.06437,-0.417448,-0.920746,2024-05-10 02:48:00
2.40635,-0.423998,-0.625241,2024-05-10 02:49:00
2.85347,-0.588996,-0.297508,2024-05-10 02:50:00
3.07802,-0.761345,-0.191886,2024-05-10 02:51:00
2.99735,-0.807402,-0.306608,2024-05-10 02:52:00
2.94677,-0.849009,-0.332399,2024-05-10 02:53:00
2.96009,-0.911522,-0.245515,2024-05-10 02:54:00
2.95932,-0.928112,-0.25297,2024-05-10 02:55:00
3.03803,-0.992895,-0.103647,2024-05-10 02:56:00
3.00455,-0.979462,-0.0366732,2024-05-10 02:57:00
2.83876,-0.968924,-0.0583422,2024-05-10 02:58:00
2.71786,-0.971855,-0.158157,2024-05-10 02:59:00
2.59496,-0.956772,-0.136588,2024-05-10 03:00:00
2.6364,-0.963062,-0.155615,2024-05-10 03:01:00
2.54989,-0.911541,-0.0780183,2024-05-10 03:02:00
2.4488,-0.933017,-0.101979,2024-05-10 03:03:00
2.38937,-0.911735,-0.0735422,2024-05-10 03:04:00
2.39618,-0.894357,-0.149061,2024-05-10 03:05:00
3.17146,-1.23321,0.559895,2024-05-10 03:06:00
2.84733,-1.31839,0.0416392,2024-05-10 03:07:00
1.48915,-0.913369,-0.743009,2024-05-10 03:08:00
1.23797,-0.724942,-0.898804,2024-05-10 03:09:00
0.830742,-0.49025,-1.07145,2024-05-10 03:10:00
0.49497,-0.286728,-1.05172,2024-05-10 03:11:00
0.480287,-0.131439,-0.97681,2024-05-10 03:12:00
0.994351,-0.275287,-0.46667,2024-05-10 03:13:00
1.35074,-0.395164,-0.541566,2024-05-10 03:14:00
1.22096,-0.420234,-0.510274,2024-05-10 03:15:00
0.82759,-0.298313,-0.900957,2024-05-10 03:16:00
0.30736,-0.0441936,-1.24432,2024-05-10 03:17:00
0.24069,-0.00567802,-1.19904,2024-05-10 03:18:00
0.351481,0.103062,-1.293,2024-05-10 03:19:00
0.394144,0.211103,-1.23703,2024-05-10 03:20:00
0.361397,0.415482,-1.36783,2024-05-10 03:21:00
0.6233,0.504778,-1.11256,2024-05-10 03:22:00
1.31692,0.0653614,-0.709558,2024-05-10 03:23:00
1.71197,-0.210833,-0.392148,2024-05-10 03:24:00
2.51744,-0.439853,0.138254,2024-05-10 03:25:00
2.3231,-0.566563,-0.138594,2024-05-10 03:26:00
1.79447,-0.408307,-0.371732,2024-05-10 03:27:00
1.67327,-0.34758,-0.560759,2024-05-10 03:28:00
1.30429,-0.226635,-0.570941,2024-05-10 03:29:00
0.788931,-0.0263917,-0.73159,2024-05-10 03:30:00
0.46506,0.226705,-0.862082,2024-05-10 03:31:00
0.581696,0.357989,-0.781319,2024-05-10 03:32:00
0.625676,0.443469,-0.782945,2024-05-10 03:33:00
0.317219,0.689779,-0.999859,2024-05-10 03:34:00
0.577747,0.795428,-0.790955,2024-05-10 03:35:00
